"“ерминал";"ƒень недели";"ƒата";"¬алюта";"1€ кассета: номинал";"1€ кассета: количество";"1€ кассета: статус";"2€ кассета: номинал";"2€ кассета: количество";"2€ кассета: статус";"3€ кассета: номинал";"3€ кассета: количество";"3€ кассета: статус";"4€ кассета: номинал";"4€ кассета: количество";"4€ кассета: статус";"кол-во банкнот в сбросовой кассете";"сумма в банкомате на начало суток";"сумма выданых наличных за сутки"
"000002";"7";"08.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"156";"1";"0";"7800";"0"
"000002";"1";"09.03.2015";"BYR";"50000";"586";"1";"100000";"3";"0";"200000";"1407";"1";"0";"0";"0";"22";"311000000";"105400000"
"000002";"1";"09.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"154";"1";"22";"7700";"500"
"000002";"2";"10.03.2015";"BYR";"50000";"222";"1";"100000";"3";"0";"200000";"971";"1";"0";"0";"0";"22";"205600000";"118000000"
"000002";"2";"10.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"144";"1";"22";"7200";"250"
"000002";"3";"11.03.2015";"BYR";"50000";"1981";"1";"100000";"1863";"1";"200000";"1719";"1";"0";"0";"0";"4";"629150000";"168150000"
"000002";"3";"11.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"190";"1";"4";"9500";"0"
"000002";"4";"12.03.2015";"BYR";"50000";"1648";"1";"100000";"1452";"1";"200000";"1167";"1";"0";"0";"0";"4";"461000000";"121550000"
"000002";"4";"12.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"190";"1";"4";"9500";"800"
"000002";"5";"13.03.2015";"BYR";"50000";"1393";"1";"100000";"1134";"1";"200000";"782";"1";"0";"0";"0";"4";"339450000";"339450000"
"000002";"5";"13.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"174";"1";"4";"8700";"1000"
"000002";"6";"14.03.2015";"BYR";"50000";"0";"0";"100000";"0";"0";"200000";"0";"0";"0";"0";"0";"31";"0";"0"
"000002";"6";"14.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"154";"1";"31";"7700";"0"
"000002";"1";"16.03.2015";"BYR";"50000";"0";"0";"100000";"0";"0";"200000";"0";"0";"0";"0";"0";"31";"0";"26900000"
"000002";"1";"16.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"154";"1";"31";"7700";"0"
"000002";"2";"17.03.2015";"BYR";"50000";"2206";"1";"100000";"2169";"1";"200000";"2130";"1";"0";"0";"0";"4";"753200000";"118800000"
"000002";"2";"17.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"199";"1";"4";"9950";"550"
"000002";"3";"18.03.2015";"BYR";"50000";"1989";"1";"100000";"1851";"1";"200000";"1708";"1";"0";"0";"0";"4";"626150000";"180000000"
"000002";"3";"18.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"188";"1";"4";"9400";"400"
"000002";"4";"19.03.2015";"BYR";"50000";"1595";"1";"100000";"1374";"1";"200000";"1145";"1";"0";"0";"0";"4";"446150000";"96900000"
"000002";"4";"19.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"180";"1";"4";"9000";"450"
"000002";"5";"20.03.2015";"BYR";"50000";"1385";"1";"100000";"1124";"1";"200000";"838";"1";"0";"0";"0";"4";"349250000";"157600000"
"000002";"5";"20.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"171";"1";"4";"8550";"1100"
"000002";"6";"21.03.2015";"BYR";"50000";"1051";"1";"100000";"727";"1";"200000";"332";"1";"0";"0";"0";"4";"191650000";"116750000"
"000002";"6";"21.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"149";"1";"4";"7450";"1450"
"000002";"7";"22.03.2015";"BYR";"50000";"782";"1";"100000";"358";"1";"200000";"0";"0";"0";"0";"0";"6";"74900000";"38750000"
"000002";"7";"22.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"120";"1";"6";"6000";"250"
"000002";"1";"23.03.2015";"BYR";"50000";"599";"1";"100000";"62";"1";"200000";"0";"0";"0";"0";"0";"6";"36150000";"87050000"
"000002";"1";"23.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"115";"1";"6";"5750";"950"
"000002";"2";"24.03.2015";"BYR";"50000";"2284";"1";"100000";"2264";"1";"200000";"2236";"1";"0";"0";"0";"4";"787800000";"79400000"
"000002";"2";"24.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"96";"1";"4";"4800";"1100"
"000002";"3";"25.03.2015";"BYR";"50000";"2084";"1";"100000";"2019";"1";"200000";"1940";"1";"0";"0";"0";"4";"694100000";"110750000"
"000002";"3";"25.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"74";"1";"4";"3700";"300"
"000002";"4";"26.03.2015";"BYR";"50000";"1853";"1";"100000";"1743";"1";"200000";"1582";"1";"0";"0";"0";"4";"583350000";"91150000"
"000002";"4";"26.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"68";"1";"4";"3400";"1100"
"000002";"5";"27.03.2015";"BYR";"50000";"1682";"1";"100000";"1517";"1";"200000";"1282";"1";"0";"0";"0";"4";"492200000";"202150000"
"000002";"5";"27.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"46";"1";"4";"2300";"1800"
"000002";"6";"28.03.2015";"BYR";"50000";"1245";"1";"100000";"984";"1";"200000";"647";"1";"0";"0";"0";"4";"290050000";"75700000"
"000002";"6";"28.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"10";"1";"4";"500";"450"
"000002";"7";"29.03.2015";"BYR";"50000";"1089";"1";"100000";"789";"1";"200000";"405";"1";"0";"0";"0";"4";"214350000";"0"
"000002";"7";"29.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"1";"1";"4";"50";"0"
"000002";"1";"30.03.2015";"BYR";"50000";"1018";"1";"100000";"684";"1";"200000";"271";"1";"0";"0";"0";"4";"173500000";"63250000"
"000002";"1";"30.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"1";"1";"4";"50";"50"
"000002";"2";"31.03.2015";"BYR";"50000";"879";"1";"100000";"517";"1";"200000";"73";"1";"0";"0";"0";"5";"110250000";"47450000"
"000002";"2";"31.03.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"5";"0";"400"
"000002";"3";"01.04.2015";"BYR";"50000";"2323";"1";"100000";"2297";"1";"200000";"2275";"1";"0";"0";"0";"4";"800850000";"77800000"
"000002";"3";"01.04.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"91";"1";"4";"4550";"100"
"000002";"4";"02.04.2015";"BYR";"50000";"2177";"1";"100000";"2098";"1";"200000";"2022";"1";"0";"0";"0";"4";"723050000";"57950000"
"000002";"4";"02.04.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"89";"1";"4";"4450";"0"
"000002";"5";"03.04.2015";"BYR";"50000";"1965";"1";"100000";"1822";"1";"200000";"1677";"1";"0";"0";"0";"4";"615850000";"0"
"000002";"5";"03.04.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"87";"1";"4";"4350";"0"
"000002";"6";"04.04.2015";"BYR";"50000";"1487";"1";"100000";"1254";"1";"200000";"990";"1";"0";"0";"0";"4";"397750000";"0"
"000002";"6";"04.04.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"44";"1";"4";"2200";"0"
"000002";"7";"05.04.2015";"BYR";"50000";"1487";"1";"100000";"1254";"1";"200000";"990";"1";"0";"0";"0";"4";"397750000";"0"
"000002";"7";"05.04.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"44";"1";"4";"2200";"0"
